sweep_type,points,avg_factor,data_type,averaging_complete_time,get_data_complete_time
list,5,8,S11,2.183,2.122
list,5,8,S21,2.183,1.272
list,5,16,S11,3.973,2.122
list,5,16,S21,3.973,1.272
list,10,8,S11,3.016,2.336
list,10,8,S21,3.016,1.357
list,10,16,S11,5.792,2.336
list,10,16,S21,5.792,1.357
list,15,8,S11,3.101,2.456
list,15,8,S21,3.101,1.454
list,15,16,S11,5.941,2.456
list,15,16,S21,5.941,1.454
list,20,8,S11,3.359,2.595
list,20,8,S21,3.359,1.602
list,20,16,S11,6.471,2.595
list,20,16,S21,6.471,1.602
list,25,8,S11,3.260,2.749
list,25,8,S21,3.260,1.600
list,25,16,S11,6.347,2.749
list,25,16,S21,6.347,1.600
list,30,8,S11,3.574,2.789
list,30,8,S21,3.574,1.682
list,30,16,S11,6.756,2.789
list,30,16,S21,6.756,1.682
linear,201,8,S11,3.783,3.596
linear,201,8,S21,3.783,2.531
linear,201,16,S11,7.292,3.596
linear,201,16,S21,7.292,2.531
linear,401,8,S11,4.221,5.032
linear,401,8,S21,4.221,3.751
linear,401,16,S11,7.988,5.032
linear,401,16,S21,7.988,3.751
linear,801,8,S11,5.489,7.851
linear,801,8,S21,5.489,6.238
linear,801,16,S11,10.386,7.851
linear,801,16,S21,10.386,6.238
linear,1601,8,S11,8.506,13.564
linear,1601,8,S21,8.506,11.015
linear,1601,16,S11,16.059,13.564
linear,1601,16,S21,16.059,11.015
